ID,DamageReplaceStatF,DamageSecondaryF,DamageReplaceStat,DamageSecondary,EpicF[0],EpicF[1],EpicF[2],EpicF[3],EpicF[4],SuperiorF[0],SuperiorF[1],SuperiorF[2],SuperiorF[3],SuperiorF[4],GoodF[0],GoodF[1],GoodF[2],GoodF[3],GoodF[4],Epic[0],Epic[1],Epic[2],Epic[3],Epic[4],Superior[0],Superior[1],Superior[2],Superior[3],Superior[4],Good[0],Good[1],Good[2],Good[3],Good[4]
11,0.29511437,0.29511437,0,0,4.2159195,3.1619396,2.3714547,2.1079597,2.1079597,4.2159195,3.1619396,2.3714547,2.1079597,2.1079597,4.2159195,3.1619396,2.3714547,2.1079597,2.1079597,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
12,0.30175278,0.30175278,0,0,4.310754,3.2330654,2.424799,2.155377,2.155377,4.310754,3.2330654,2.424799,2.155377,2.155377,4.310754,3.2330654,2.424799,2.155377,2.155377,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
13,0.344922,0.344922,0,0,4.7712555,3.5784416,2.6838312,2.3856277,2.3856277,4.7712555,3.5784416,2.6838312,2.3856277,2.3856277,4.7712555,3.5784416,2.6838312,2.3856277,2.3856277,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
14,0.35226735,0.35226735,0,0,4.872863,3.6546469,2.7409852,2.4364314,2.4364314,4.872863,3.6546469,2.7409852,2.4364314,2.4364314,4.872863,3.6546469,2.7409852,2.4364314,2.4364314,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
15,0.41979122,0.41979122,0,0,5.360462,4.0203466,3.01526,2.680231,2.680231,5.360462,4.0203466,3.01526,2.680231,2.680231,5.360462,4.0203466,3.01526,2.680231,2.680231,5,4,3,2,2,5,4,3,2,2,5,4,3,2,2
16,0.432282,0.432282,0,0,5.519962,4.1399713,3.1049786,2.759981,2.759981,5.519962,4.1399713,3.1049786,2.759981,2.759981,5.519962,4.1399713,3.1049786,2.759981,2.759981,5,4,3,2,2,5,4,3,2,2,5,4,3,2,2
17,0.51527333,0.51527333,0,0,6.0934024,4.5700517,3.4275389,3.0467012,3.0467012,6.0934024,4.5700517,3.4275389,3.0467012,3.0467012,6.0934024,4.5700517,3.4275389,3.0467012,3.0467012,6,4,3,3,3,6,4,3,3,3,6,4,3,3,3
18,0.6092,0.6092,0,0,6.6914415,5.018581,3.7639358,3.3457208,3.3457208,6.6914415,5.018581,3.7639358,3.3457208,3.3457208,6.6914415,5.018581,3.7639358,3.3457208,3.3457208,6,5,3,3,3,6,5,3,3,3,6,5,3,3,3
19,0.7219374,0.7219374,0,0,7.385549,5.5391617,4.1543713,3.6927745,3.6927745,7.385549,5.5391617,4.1543713,3.6927745,3.6927745,7.385549,5.5391617,4.1543713,3.6927745,3.6927745,7,5,4,3,3,7,5,4,3,3,7,5,4,3,3
20,0.84938544,0.84938544,0,0,8.113533,6.0851493,4.5638623,4.0567665,4.0567665,8.113533,6.0851493,4.5638623,4.0567665,4.0567665,8.113533,6.0851493,4.5638623,4.0567665,4.0567665,8,6,4,4,4,8,6,4,4,4,8,6,4,4,4
21,0.9836152,0.9836152,0,0,8.875391,6.6565433,4.9924073,4.4376955,4.4376955,8.875391,6.6565433,4.9924073,4.4376955,4.4376955,8.875391,6.6565433,4.9924073,4.4376955,4.4376955,8,6,4,4,4,8,6,4,4,4,8,6,4,4,4
22,1.1326095,1.1326095,1,1,9.6711235,7.2533426,5.4400067,4.8355618,4.8355618,9.6711235,7.2533426,5.4400067,4.8355618,4.8355618,9.6711235,7.2533426,5.4400067,4.8355618,4.8355618,9,7,5,4,4,9,7,5,4,4,9,7,5,4,4
23,1.2973651,1.2973651,1,1,10.500729,7.8755465,5.90666,5.2503643,5.2503643,10.500729,7.8755465,5.90666,5.2503643,5.2503643,10.500729,7.8755465,5.90666,5.2503643,5.2503643,10,7,5,5,5,10,7,5,5,5,10,7,5,5,5
24,1.4789094,1.4789094,1,1,11.364205,8.523154,6.392366,5.6821027,5.6821027,11.364205,8.523154,6.392366,5.6821027,5.6821027,11.364205,8.523154,6.392366,5.6821027,5.6821027,11,8,6,5,5,11,8,6,5,5,11,8,6,5,5
25,1.6783003,1.6783003,1,1,12.261555,9.196166,6.8971243,6.1307774,6.1307774,12.261555,9.196166,6.8971243,6.1307774,6.1307774,12.261555,9.196166,6.8971243,6.1307774,6.1307774,12,9,6,6,6,12,9,6,6,6,12,9,6,6,6
26,1.823679,1.823679,1,1,12.685359,9.514019,7.1355147,6.3426795,6.3426795,12.685359,9.514019,7.1355147,6.3426795,6.3426795,12.685359,9.514019,7.1355147,6.3426795,6.3426795,12,9,7,6,6,12,9,7,6,6,12,9,7,6,6
27,1.9768572,1.9768572,1,1,13.109133,9.831849,7.373887,6.5545664,6.5545664,13.109133,9.831849,7.373887,6.5545664,6.5545664,13.109133,9.831849,7.373887,6.5545664,6.5545664,13,9,7,6,6,13,9,7,6,6,13,9,7,6,6
28,2.1380255,2.1380255,2,2,13.532877,10.149658,7.612243,6.7664385,6.7664385,13.532877,10.149658,7.612243,6.7664385,6.7664385,13.532877,10.149658,7.612243,6.7664385,6.7664385,13,10,7,6,6,13,10,7,6,6,13,10,7,6,6
29,2.3077633,2.3077633,2,2,13.958949,10.469212,7.8519087,6.9794745,6.9794745,13.958949,10.469212,7.8519087,6.9794745,6.9794745,13.958949,10.469212,7.8519087,6.9794745,6.9794745,13,10,7,6,6,13,10,7,6,6,13,10,7,6,6
30,2.4868927,2.4868927,2,2,14.390698,10.793024,8.094768,7.195349,7.195349,14.390698,10.793024,8.094768,7.195349,7.195349,14.390698,10.793024,8.094768,7.195349,7.195349,14,10,8,7,7,14,10,8,7,7,14,10,8,7,7
31,2.6763844,2.6763844,2,2,14.831724,11.123793,8.342845,7.415862,7.415862,14.831724,11.123793,8.342845,7.415862,7.415862,14.831724,11.123793,8.342845,7.415862,7.415862,14,11,8,7,7,14,11,8,7,7,14,11,8,7,7
32,2.8773756,2.8773756,2,2,15.285879,11.46441,8.598307,7.6429396,7.6429396,15.285879,11.46441,8.598307,7.6429396,7.6429396,15.285879,11.46441,8.598307,7.6429396,7.6429396,15,11,8,7,7,15,11,8,7,7,15,11,8,7,7
33,3.0911872,3.0911872,3,3,15.757295,11.817971,8.863479,7.8786473,7.8786473,15.757295,11.817971,8.863479,7.8786473,7.8786473,15.757295,11.817971,8.863479,7.8786473,7.8786473,15,11,8,7,7,15,11,8,7,7,15,11,8,7,7
34,3.3187878,3.3187878,3,3,16.24766,12.185745,9.139309,8.12383,8.12383,16.24766,12.185745,9.139309,8.12383,8.12383,16.24766,12.185745,9.139309,8.12383,8.12383,16,12,9,8,8,16,12,9,8,8,16,12,9,8,8
35,3.5610402,3.5610402,3,3,16.757835,12.568377,9.426283,8.378918,8.378918,16.757835,12.568377,9.426283,8.378918,8.378918,16.757835,12.568377,9.426283,8.378918,8.378918,16,12,9,8,8,16,12,9,8,8,16,12,9,8,8
36,3.704109,3.704109,3,3,17.288723,12.966542,9.724907,8.6443615,8.6443615,17.288723,12.966542,9.724907,8.6443615,8.6443615,17.288723,12.966542,9.724907,8.6443615,8.6443615,17,12,9,8,8,17,12,9,8,8,17,12,9,8,8
37,3.8537142,3.8537142,3,3,17.841269,13.380952,10.035714,8.920634,8.920634,17.841269,13.380952,10.035714,8.920634,8.920634,17.841269,13.380952,10.035714,8.920634,8.920634,17,13,10,8,8,17,13,10,8,8,17,13,10,8,8
38,4.010186,4.010186,4,4,18.41647,13.812352,10.359264,9.208235,9.208235,18.41647,13.812352,10.359264,9.208235,9.208235,18.41647,13.812352,10.359264,9.208235,9.208235,18,13,10,9,9,18,13,10,9,9,18,13,10,9,9
39,4.1738744,4.1738744,4,4,19.015373,14.261529,10.696147,9.507687,9.507687,19.015373,14.261529,10.696147,9.507687,9.507687,19.015373,14.261529,10.696147,9.507687,9.507687,19,14,10,9,9,19,14,10,9,9,19,14,10,9,9
40,4.345145,4.345145,4,4,19.639074,14.729306,11.04698,9.819537,9.819537,19.639074,14.729306,11.04698,9.819537,9.819537,19.639074,14.729306,11.04698,9.819537,9.819537,19,14,11,9,9,19,14,11,9,9,19,14,11,9,9
41,4.524388,4.524388,4,4,20.288734,15.216551,11.412413,10.144367,10.144367,20.288734,15.216551,11.412413,10.144367,10.144367,20.288734,15.216551,11.412413,10.144367,10.144367,20,15,11,10,10,20,15,11,10,10,20,15,11,10,10
42,4.712011,4.712011,4,4,20.965565,15.724174,11.79313,10.482782,10.482782,20.965565,15.724174,11.79313,10.482782,10.482782,20.965565,15.724174,11.79313,10.482782,10.482782,20,15,11,10,10,20,15,11,10,10,20,15,11,10,10
43,4.9084463,4.9084463,4,4,21.670845,16.253134,12.18985,10.835423,10.835423,21.670845,16.253134,12.18985,10.835423,10.835423,21.670845,16.253134,12.18985,10.835423,10.835423,21,16,12,10,10,21,16,12,10,10,21,16,12,10,10
44,5.114151,5.114151,5,5,22.405918,16.80444,12.603329,11.202959,11.202959,22.405918,16.80444,12.603329,11.202959,11.202959,22.405918,16.80444,12.603329,11.202959,11.202959,22,16,12,11,11,22,16,12,11,11,22,16,12,11,11
45,5.3296056,5.3296056,5,5,23.1722,17.379148,13.034362,11.5861,11.5861,23.1722,17.379148,13.034362,11.5861,11.5861,23.1722,17.379148,13.034362,11.5861,11.5861,23,17,13,11,11,23,17,13,11,11,23,17,13,11,11
46,5.5613127,5.5613127,5,5,23.971174,17.97838,13.483786,11.985587,11.985587,23.971174,17.97838,13.483786,11.985587,11.985587,23.971174,17.97838,13.483786,11.985587,11.985587,23,17,13,11,11,23,17,13,11,11,23,17,13,11,11
47,5.804232,5.804232,5,5,24.80441,18.603308,13.952481,12.402205,12.402205,24.80441,18.603308,13.952481,12.402205,12.402205,24.80441,18.603308,13.952481,12.402205,12.402205,24,18,13,12,12,24,18,13,12,12,24,18,13,12,12
48,6.058959,6.058959,6,6,25.673555,19.255167,14.441375,12.836778,12.836778,25.673555,19.255167,14.441375,12.836778,12.836778,25.673555,19.255167,14.441375,12.836778,12.836778,25,19,14,12,12,25,19,14,12,12,25,19,14,12,12
49,6.2816777,6.2816777,6,6,26.393604,19.795204,14.846402,13.196802,13.196802,26.393604,19.795204,14.846402,13.196802,13.196802,26.393604,19.795204,14.846402,13.196802,13.196802,26,19,14,13,13,26,19,14,13,13,26,19,14,13,13
50,6.5135326,6.5135326,6,6,27.139719,20.35479,15.266092,13.56986,13.56986,27.139719,20.35479,15.266092,13.56986,13.56986,27.139719,20.35479,15.266092,13.56986,13.56986,27,20,15,13,13,27,20,15,13,13,27,20,15,13,13
51,6.651687,6.651687,6,6,27.715363,20.786522,15.589891,13.857681,13.857681,27.715363,20.786522,15.589891,13.857681,13.857681,27.715363,20.786522,15.589891,13.857681,13.857681,27,20,15,13,13,27,20,15,13,13,27,20,15,13,13
52,6.850489,6.850489,6,6,28.307808,21.230856,15.923141,14.153904,14.153904,28.307808,21.230856,15.923141,14.153904,14.153904,28.307808,21.230856,15.923141,14.153904,14.153904,28,21,15,14,14,28,21,15,14,14,28,21,15,14,14
53,6.9481444,6.9481444,6,6,28.711342,21.533506,16.15013,14.355671,14.355671,28.711342,21.533506,16.15013,14.355671,14.355671,28.711342,21.533506,16.15013,14.355671,14.355671,28,21,16,14,14,28,21,16,14,14,28,21,16,14,14
54,7.156479,7.156479,7,7,29.329832,21.997374,16.49803,14.664916,14.664916,29.329832,21.997374,16.49803,14.664916,14.664916,29.329832,21.997374,16.49803,14.664916,14.664916,29,21,16,14,14,29,21,16,14,14,29,21,16,14,14
55,7.2592807,7.2592807,7,7,29.75115,22.313362,16.735022,14.875575,14.875575,29.75115,22.313362,16.735022,14.875575,14.875575,29.75115,22.313362,16.735022,14.875575,14.875575,29,22,16,14,14,29,22,16,14,14,29,22,16,14,14
56,7.477654,7.477654,7,7,30.396967,22.797726,17.098295,15.198483,15.198483,30.396967,22.797726,17.098295,15.198483,15.198483,30.396967,22.797726,17.098295,15.198483,15.198483,30,22,17,15,15,30,22,17,15,15,30,22,17,15,15
57,7.5858893,7.5858893,7,7,30.836948,23.12771,17.345783,15.418474,15.418474,30.836948,23.12771,17.345783,15.418474,15.418474,30.836948,23.12771,17.345783,15.418474,15.418474,30,23,17,15,15,30,23,17,15,15,30,23,17,15,15
58,7.8148375,7.8148375,7,7,31.511442,23.633581,17.725185,15.755721,15.755721,31.511442,23.633581,17.725185,15.755721,15.755721,31.511442,23.633581,17.725185,15.755721,15.755721,31,23,17,15,15,31,23,17,15,15,31,23,17,15,15
59,7.9435987,7.9435987,7,7,32.03064,24.02298,18.017235,16.01532,16.01532,32.03064,24.02298,18.017235,16.01532,16.01532,32.03064,24.02298,18.017235,16.01532,16.01532,32,24,18,16,16,32,24,18,16,16,32,24,18,16,16
60,8.15478,8.15478,8,8,32.61912,24.464342,18.348257,16.30956,16.30956,32.61912,24.464342,18.348257,16.30956,16.30956,32.61912,24.464342,18.348257,16.30956,16.30956,32,24,18,16,16,32,24,18,16,16,32,24,18,16,16
61,8.260303,8.361674,8,8,33.04121,24.780907,18.58568,16.520605,16.520605,33.04121,24.780907,18.58568,16.520605,16.520605,33.04121,24.780907,18.58568,16.520605,16.520605,33,24,18,16,16,33,24,18,16,16,33,24,18,16,16
62,8.382796,8.641966,8,8,33.531185,25.14839,18.861292,16.765593,16.765593,33.531185,25.14839,18.861292,16.765593,16.765593,33.531185,25.14839,18.861292,16.765593,16.765593,33,25,18,16,16,33,25,18,16,16,33,25,18,16,16
63,8.461267,8.7971,8,8,33.84507,25.383804,19.037853,16.922535,16.922535,33.84507,25.383804,19.037853,16.922535,16.922535,33.84507,25.383804,19.037853,16.922535,16.922535,33,25,19,16,16,33,25,19,16,16,33,25,19,16,16
64,8.540474,8.991848,8,8,34.161896,25.621422,19.216066,17.080948,17.080948,34.161896,25.621422,19.216066,17.080948,17.080948,34.161896,25.621422,19.216066,17.080948,17.080948,34,25,19,17,17,34,25,19,17,17,34,25,19,17,17
65,8.620421,9.151654,8,9,34.481686,25.861263,19.395948,17.240843,17.240843,34.481686,25.861263,19.395948,17.240843,17.240843,34.481686,25.861263,19.395948,17.240843,17.240843,34,25,19,17,17,34,25,19,17,17,34,25,19,17,17
66,8.7011175,9.351835,8,9,34.80447,26.103352,19.577513,17.402235,17.402235,34.80447,26.103352,19.577513,17.402235,17.402235,34.80447,26.103352,19.577513,17.402235,17.402235,34,26,19,17,17,34,26,19,17,17,34,26,19,17,17
67,8.782568,9.516434,8,9,35.130272,26.347704,19.760778,17.565136,17.565136,35.130272,26.347704,19.760778,17.565136,17.565136,35.130272,26.347704,19.760778,17.565136,17.565136,35,26,19,17,17,35,26,19,17,17,35,26,19,17,17
68,8.864782,9.722183,8,9,35.45913,26.594345,19.945759,17.729565,17.729565,35.45913,26.594345,19.945759,17.729565,17.729565,35.45913,26.594345,19.945759,17.729565,17.729565,35,26,19,17,17,35,26,19,17,17,35,26,19,17,17
69,8.947765,9.891699,8,9,35.79106,26.843296,20.132471,17.89553,17.89553,35.79106,26.843296,20.132471,17.89553,17.89553,35.79106,26.843296,20.132471,17.89553,17.89553,35,26,20,17,17,35,26,20,17,17,35,26,20,17,17
70,9.031526,10.103155,9,10,36.126102,27.094576,20.320932,18.063051,18.063051,36.126102,27.094576,20.320932,18.063051,18.063051,36.126102,27.094576,20.320932,18.063051,18.063051,36,27,20,18,18,36,27,20,18,18,36,27,20,18,18
71,9.11607,10.277714,9,10,36.46428,27.348207,20.511156,18.23214,18.23214,36.46428,27.348207,20.511156,18.23214,18.23214,36.46428,27.348207,20.511156,18.23214,18.23214,36,27,20,18,18,36,27,20,18,18,36,27,20,18,18
72,9.201405,10.49502,9,10,36.80562,27.604216,20.703161,18.40281,18.40281,36.80562,27.604216,20.703161,18.40281,18.40281,36.80562,27.604216,20.703161,18.40281,18.40281,36,27,20,18,18,36,27,20,18,18,36,27,20,18,18
73,9.2875395,10.767574,9,10,37.150158,27.862617,20.896963,18.575079,18.575079,37.150158,27.862617,20.896963,18.575079,18.575079,37.150158,27.862617,20.896963,18.575079,18.575079,37,27,20,18,18,37,27,20,18,18,37,27,20,18,18
74,9.37448,11.087582,9,11,37.49792,28.12344,21.09258,18.74896,18.74896,37.49792,28.12344,21.09258,18.74896,18.74896,37.49792,28.12344,21.09258,18.74896,18.74896,37,28,21,18,18,37,28,21,18,18,37,28,21,18,18
75,9.4622345,11.372211,9,11,37.848938,28.386703,21.290028,18.924469,18.924469,37.848938,28.386703,21.290028,18.924469,18.924469,37.848938,28.386703,21.290028,18.924469,18.924469,37,28,21,18,18,37,28,21,18,18,37,28,21,18,18
76,9.550811,11.70601,9,11,38.203243,28.652431,21.489325,19.101622,19.101622,38.203243,28.652431,21.489325,19.101622,19.101622,38.203243,28.652431,21.489325,19.101622,19.101622,38,28,21,19,19,38,28,21,19,19,38,28,21,19,19
77,9.640216,12.003139,9,12,38.560863,28.920649,21.690485,19.280432,19.280432,38.560863,28.920649,21.690485,19.280432,19.280432,38.560863,28.920649,21.690485,19.280432,19.280432,38,28,21,19,19,38,28,21,19,19,38,28,21,19,19
78,9.730458,12.351203,9,12,38.921833,29.191374,21.89353,19.460917,19.460917,38.921833,29.191374,21.89353,19.460917,19.460917,38.921833,29.191374,21.89353,19.460917,19.460917,38,29,21,19,19,38,29,21,19,19,38,29,21,19,19
79,9.821545,12.661271,9,12,39.28618,29.464634,22.098476,19.64309,19.64309,39.28618,29.464634,22.098476,19.64309,19.64309,39.28618,29.464634,22.098476,19.64309,19.64309,39,29,22,19,19,39,29,22,19,19,39,29,22,19,19
80,9.913485,13.02409,9,13,39.65394,29.740454,22.30534,19.82697,19.82697,39.65394,29.740454,22.30534,19.82697,19.82697,39.65394,29.740454,22.30534,19.82697,19.82697,39,29,22,19,19,39,29,22,19,19,39,29,22,19,19
81,10.006285,13.34755,10,13,40.02514,30.018854,22.514141,20.01257,20.01257,40.02514,30.018854,22.514141,20.01257,20.01257,40.02514,30.018854,22.514141,20.01257,20.01257,40,30,22,20,20,40,30,22,20,20,40,30,22,20,20
82,10.099954,13.725626,10,13,40.399815,30.29986,22.724895,20.199907,20.199907,40.399815,30.29986,22.724895,20.199907,20.199907,40.399815,30.29986,22.724895,20.199907,20.199907,40,30,22,20,20,40,30,22,20,20,40,30,22,20,20
83,10.194499,14.062944,10,14,40.777996,30.583498,22.937624,20.388998,20.388998,40.777996,30.583498,22.937624,20.388998,20.388998,40.777996,30.583498,22.937624,20.388998,20.388998,40,30,22,20,20,40,30,22,20,20,40,30,22,20,20
84,10.28993,14.406945,10,14,41.15972,30.86979,23.152342,20.57986,20.57986,41.15972,30.86979,23.152342,20.57986,20.57986,41.15972,30.86979,23.152342,20.57986,20.57986,41,30,23,20,20,41,30,23,20,20,41,30,23,20,20
85,10.386254,14.707025,10,14,41.545017,31.158762,23.369072,20.772509,20.772509,41.545017,31.158762,23.369072,20.772509,20.772509,41.545017,31.158762,23.369072,20.772509,20.772509,41,31,23,20,20,41,31,23,20,20,41,31,23,20,20
86,10.483479,15.012259,10,15,41.933918,31.45044,23.58783,20.966959,20.966959,41.933918,31.45044,23.58783,20.966959,20.966959,41.933918,31.45044,23.58783,20.966959,20.966959,41,31,23,20,20,41,31,23,20,20,41,31,23,20,20
87,10.581615,15.322728,10,15,42.32646,31.744846,23.808636,21.16323,21.16323,42.32646,31.744846,23.808636,21.16323,21.16323,42.32646,31.744846,23.808636,21.16323,21.16323,42,31,23,21,21,42,31,23,21,21,42,31,23,21,21
88,10.680671,15.638509,10,15,42.722683,32.04201,24.031507,21.361341,21.361341,42.722683,32.04201,24.031507,21.361341,21.361341,42.722683,32.04201,24.031507,21.361341,21.361341,42,32,24,21,21,42,32,24,21,21,42,32,24,21,21
89,10.780652,15.959681,10,15,43.12261,32.341957,24.256468,21.561304,21.561304,43.12261,32.341957,24.256468,21.561304,21.561304,43.12261,32.341957,24.256468,21.561304,21.561304,43,32,24,21,21,43,32,24,21,21,43,32,24,21,21
90,10.88157,16.286325,10,16,43.52628,32.64471,24.483532,21.76314,21.76314,43.52628,32.64471,24.483532,21.76314,21.76314,43.52628,32.64471,24.483532,21.76314,21.76314,43,32,24,21,21,43,32,24,21,21,43,32,24,21,21
91,10.983433,16.618526,10,16,43.93373,32.9503,24.712723,21.966866,21.966866,43.93373,32.9503,24.712723,21.966866,21.966866,43.93373,32.9503,24.712723,21.966866,21.966866,43,32,24,21,21,43,32,24,21,21,43,32,24,21,21
92,11.086248,16.956364,11,16,44.344994,33.258743,24.94406,22.172497,22.172497,44.344994,33.258743,24.94406,22.172497,22.172497,44.344994,33.258743,24.94406,22.172497,22.172497,44,33,24,22,22,44,33,24,22,22,44,33,24,22,22
93,11.190026,17.299925,11,17,44.760105,33.57008,25.17756,22.380053,22.380053,44.760105,33.57008,25.17756,22.380053,22.380053,44.760105,33.57008,25.17756,22.380053,22.380053,44,33,25,22,22,44,33,25,22,22,44,33,25,22,22
94,11.294777,17.649294,11,17,45.179108,33.88433,25.413248,22.589554,22.589554,45.179108,33.88433,25.413248,22.589554,22.589554,45.179108,33.88433,25.413248,22.589554,22.589554,45,33,25,22,22,45,33,25,22,22,45,33,25,22,22
95,11.400507,18.004557,11,18,45.602028,34.201523,25.65114,22.801014,22.801014,45.602028,34.201523,25.65114,22.801014,22.801014,45.602028,34.201523,25.65114,22.801014,22.801014,45,34,25,22,22,45,34,25,22,22,45,34,25,22,22
96,11.507227,18.233673,11,18,46.028908,34.521683,25.891262,23.014454,23.014454,46.028908,34.521683,25.891262,23.014454,23.014454,46.028908,34.521683,25.891262,23.014454,23.014454,46,34,25,23,23,46,34,25,23,23,46,34,25,23,23
97,11.614946,18.465504,11,18,46.459785,34.84484,26.133629,23.229893,23.229893,46.459785,34.84484,26.133629,23.229893,23.229893,46.459785,34.84484,26.133629,23.229893,23.229893,46,34,26,23,23,46,34,26,23,23,46,34,26,23,23
98,11.723674,18.700075,11,18,46.894695,35.17102,26.378267,23.447348,23.447348,46.894695,35.17102,26.378267,23.447348,23.447348,46.894695,35.17102,26.378267,23.447348,23.447348,46,35,26,23,23,46,35,26,23,23,46,35,26,23,23
99,11.83342,18.937422,11,18,47.33368,35.50026,26.625195,23.66684,23.66684,47.33368,35.50026,26.625195,23.66684,23.66684,47.33368,35.50026,26.625195,23.66684,23.66684,47,35,26,23,23,47,35,26,23,23,47,35,26,23,23
100,11.944192,19.177572,11,19,47.776768,35.832577,26.874432,23.888384,23.888384,47.776768,35.832577,26.874432,23.888384,23.888384,47.776768,35.832577,26.874432,23.888384,23.888384,47,35,26,23,23,47,35,26,23,23,47,35,26,23,23
101,12.056002,19.420559,12,19,48.224007,36.168007,27.126003,24.112003,24.112003,48.224007,36.168007,27.126003,24.112003,24.112003,48.224007,36.168007,27.126003,24.112003,24.112003,48,36,27,24,24,48,36,27,24,24,48,36,27,24,24
102,12.168859,19.666414,12,19,48.675434,36.506573,27.37993,24.337717,24.337717,48.675434,36.506573,27.37993,24.337717,24.337717,48.675434,36.506573,27.37993,24.337717,24.337717,48,36,27,24,24,48,36,27,24,24,48,36,27,24,24
103,12.282771,19.915173,12,19,49.131084,36.848312,27.636234,24.565542,24.565542,49.131084,36.848312,27.636234,24.565542,24.565542,49.131084,36.848312,27.636234,24.565542,24.565542,49,36,27,24,24,49,36,27,24,24,49,36,27,24,24
104,12.39775,20.166862,12,20,49.591,37.19325,27.894938,24.7955,24.7955,49.591,37.19325,27.894938,24.7955,24.7955,49.591,37.19325,27.894938,24.7955,24.7955,49,37,27,24,24,49,37,27,24,24,49,37,27,24,24
105,12.513805,20.42152,12,20,50.05522,37.541416,28.156061,25.02761,25.02761,50.05522,37.541416,28.156061,25.02761,25.02761,50.05522,37.541416,28.156061,25.02761,25.02761,50,37,28,25,25,50,37,28,25,25,50,37,28,25,25
106,12.630947,20.67918,12,20,50.52379,37.89284,28.419632,25.261894,25.261894,50.52379,37.89284,28.419632,25.261894,25.261894,50.52379,37.89284,28.419632,25.261894,25.261894,50,37,28,25,25,50,37,28,25,25,50,37,28,25,25
107,12.749186,20.939873,12,20,50.996742,38.247555,28.685667,25.498371,25.498371,50.996742,38.247555,28.685667,25.498371,25.498371,50.996742,38.247555,28.685667,25.498371,25.498371,50,38,28,25,25,50,38,28,25,25,50,38,28,25,25
108,12.86853,21.203634,12,21,51.47412,38.60559,28.954195,25.73706,25.73706,51.47412,38.60559,28.954195,25.73706,25.73706,51.47412,38.60559,28.954195,25.73706,25.73706,51,38,28,25,25,51,38,28,25,25,51,38,28,25,25
109,12.988993,21.470499,12,21,51.95597,38.96698,29.225235,25.977985,25.977985,51.95597,38.96698,29.225235,25.977985,25.977985,51.95597,38.96698,29.225235,25.977985,25.977985,51,38,29,25,25,51,38,29,25,25,51,38,29,25,25
